=== 「翻了 N 屏到达 bot 区」历史 ===
  08-17 09:03:55  翻了 77 屏到达 bot 区
  08-17 09:15:53  翻了 78 屏到达 bot 区
  08-17 09:24:32  翻了 73 屏到达 bot 区
  08-17 09:37:12  翻了 74 屏到达 bot 区
  08-17 10:23:38  翻了 72 屏到达 bot 区
  08-17 11:30:37  翻了 78 屏到达 bot 区

=== 「盲拖 N 屏」历史 ===
  08-17 09:01:09  盲拖 40 屏（那一段必定还是真人），开始检测 bot
  08-17 09:13:03  盲拖 40 屏（那一段必定还是真人），开始检测 bot
  08-17 09:22:05  盲拖 40 屏（那一段必定还是真人），开始检测 bot
  08-17 09:34:42  盲拖 40 屏（那一段必定还是真人），开始检测 bot
  08-17 10:21:15  盲拖 40 屏（那一段必定还是真人），开始检测 bot
  08-17 11:19:46  盲拖 40 屏（那一段必定还是真人），开始检测 bot
  08-17 11:24:23  盲拖 40 屏（那一段必定还是真人），开始检测 bot
  08-17 11:27:47  盲拖 40 屏（那一段必定还是真人），开始检测 bot
